Country,Brand,Model,status,reason
Canada,Cadillac,Escalade ESV,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Canada,Cadillac,Escalade IQ EV,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Canada,Honda,Prelude,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Canada,Infiniti,QX65,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Canada,Jeep,Recon,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Canada,Jeep,Wagoneer S,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Canada,Kia,EV4,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Canada,Kia,EV5,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Canada,Polestar,4,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Canada,Subaru,Trailseeker,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Canada,Subaru,Uncharted,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
China,AION,N60,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
China,AION,i60,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
China,AITO,M6,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
China,Audi,E5 Sportback,UNSEEN_SERIES,해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
China,Audi,E7X,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
