hour_ahead,NO2_prediction_scaled
1,0.25742852687835693
2,0.25392207503318787
3,0.24876536428928375
4,0.24170449376106262
5,0.23320524394512177
6,0.22348909080028534
7,0.21321146190166473
8,0.2030053287744522
9,0.19119897484779358
10,0.18307970464229584
11,0.17408935725688934
12,0.16315031051635742
13,0.15648451447486877
14,0.15363392233848572
15,0.1594616174697876
16,0.17952635884284973
17,0.2081386297941208
18,0.2405761480331421
19,0.27147579193115234
20,0.2958511412143707
21,0.31201112270355225
22,0.31868869066238403
23,0.3189363479614258
24,0.31406742334365845
