market,brand,model,date,horizon,predicted_sales
국산,KGM,렉스턴 뉴 아레나,2026-08-01,1,70
국산,KGM,렉스턴 뉴 아레나,2026-10-01,3,73
국산,KGM,렉스턴 뉴 아레나,2027-01-01,6,65
국산,KGM,티볼리,2026-08-01,1,444
국산,KGM,티볼리,2026-10-01,3,432
국산,KGM,티볼리,2027-01-01,6,403
국산,기아,EV6,2026-08-01,1,760
국산,기아,EV6,2026-10-01,3,723
국산,기아,EV6,2027-01-01,6,506
국산,기아,EV9,2026-08-01,1,216
국산,기아,EV9,2026-10-01,3,201
국산,기아,EV9,2027-01-01,6,140
국산,기아,K5,2026-08-01,1,2529
국산,기아,K5,2026-10-01,3,2554
국산,기아,K5,2027-01-01,6,2435
국산,기아,K8,2026-08-01,1,1470
국산,기아,K8,2026-10-01,3,1549
국산,기아,K8,2027-01-01,6,1439
국산,기아,K9,2026-08-01,1,91
국산,기아,K9,2026-10-01,3,88
국산,기아,K9,2027-01-01,6,86
국산,기아,니로,2026-08-01,1,1140
국산,기아,니로,2026-10-01,3,1111
국산,기아,니로,2027-01-01,6,1113
국산,기아,레이,2026-08-01,1,2975
국산,기아,레이,2026-10-01,3,2911
국산,기아,레이,2027-01-01,6,3051
국산,기아,레이 EV,2026-08-01,1,752
국산,기아,레이 EV,2026-10-01,3,732
국산,기아,레이 EV,2027-01-01,6,500
국산,기아,모닝,2026-08-01,1,1961
국산,기아,모닝,2026-10-01,3,1844
국산,기아,모닝,2027-01-01,6,1662
국산,기아,봉고 3,2026-08-01,1,2228
국산,기아,봉고 3,2026-10-01,3,2330
국산,기아,봉고 3,2027-01-01,6,2129
국산,기아,봉고 3 EV,2026-08-01,1,347
국산,기아,봉고 3 EV,2026-10-01,3,297
국산,기아,봉고 3 EV,2027-01-01,6,254
국산,기아,셀토스,2026-08-01,1,5031
국산,기아,셀토스,2026-10-01,3,4422
국산,기아,셀토스,2027-01-01,6,4319
국산,기아,스포티지,2026-08-01,1,5429
국산,기아,스포티지,2026-10-01,3,5357
국산,기아,스포티지,2027-01-01,6,5374
국산,기아,쏘렌토,2026-08-01,1,7909
국산,기아,쏘렌토,2026-10-01,3,8501
국산,기아,쏘렌토,2027-01-01,6,8659
국산,기아,카니발,2026-08-01,1,5801
국산,기아,카니발,2026-10-01,3,5564
국산,기아,카니발,2027-01-01,6,5505
국산,쉐보레,콜로라도,2026-08-01,1,9
국산,쉐보레,콜로라도,2026-10-01,3,7
국산,쉐보레,콜로라도,2027-01-01,6,7
국산,쉐보레,트래버스,2026-08-01,1,1
국산,쉐보레,트래버스,2026-10-01,3,2
