date,market,brand,model,sales
2016-01,국산,현대,포터2,8632
2016-01,국산,기아,쏘렌토,7567
2016-01,국산,현대,아반떼,6996
2016-01,국산,기아,카니발,5820
2016-01,국산,기아,모닝,5209
2016-01,국산,현대,싼타페,5074
2016-01,국산,현대,LF쏘나타,5035
2016-01,국산,기아,봉고 3,4847
2016-01,국산,기아,스포티지,4754
2016-01,국산,기아,K3,4577
2016-01,국산,현대,투싼(2017),4469
2016-01,국산,현대,그랜저HG,4419
2016-01,국산,쉐보레,더 넥스트 스파크,4285
2016-01,국산,현대,스타렉스,3840
2016-01,국산,기아,K5,3315
2016-01,국산,KGM,티볼리,3222
2016-01,국산,현대,제네시스(DH),2275
2016-01,국산,제네시스,EQ900,2164
2016-01,국산,KGM,코란도 스포츠,1849
2016-01,국산,기아,레이,1709
2016-01,국산,쉐보레,임팔라,1556
2016-01,수입,벤츠,E-Class,1519
2016-01,국산,기아,K7,1293
2016-01,국산,현대,엑센트,1016
2016-01,국산,현대,맥스크루즈,965
2016-01,수입,벤츠,S-Class,900
2016-01,수입,아우디,A6,814
2016-01,국산,쉐보레,올란도,788
2016-01,국산,KGM,뉴 코란도 C,723
2016-01,수입,BMW,5 Series,695
2016-01,국산,쉐보레,어메이징 뉴 크루즈,690
2016-01,국산,현대,쏘나타(YF),636
2016-01,수입,폭스바겐,Tiguan,631
2016-01,국산,현대,그랜저HG HEV,622
2016-01,수입,벤츠,GLC-Class,619
2016-01,국산,르노코리아,QM3,613
2016-01,국산,쉐보레,트랙스,548
2016-01,국산,기아,K5 하이브리드,543
2016-01,수입,BMW,3 Series,535
2016-01,국산,쉐보레,말리부,532
2016-01,국산,르노코리아,SM5 노바,529
2016-01,국산,현대,LF쏘나타 HEV,523
2016-01,국산,현대,아이오닉 hybrid,493
2016-01,수입,포드,Explorer,479
2016-01,수입,폭스바겐,Golf,479
2016-01,국산,르노코리아,SM3 네오,454
2016-01,수입,렉서스,ES,421
2016-01,국산,쉐보레,다마스,413
2016-01,국산,KGM,코란도 투리스모,403
2016-01,국산,르노코리아,SM7 노바,361
2016-01,수입,인피니티,Q50,350
2016-01,국산,쉐보레,라보,345
2016-01,수입,벤츠,C-Class,335
2016-01,수입,벤츠,GLE-Class,306
2016-01,국산,KGM,렉스턴 W,292
2016-01,국산,기아,프라이드,286
2016-01,수입,랜드로버,Discovery Sport,284
2016-01,국산,현대,아슬란,266
2016-01,국산,기아,K9,265
2016-01,수입,미니,Hatch,261
2016-01,수입,랜드로버,Range Rover Evoque,241
2016-01,수입,아우디,Q5,218
2016-01,수입,아우디,A7,217
2016-01,수입,아우디,A4,212
2016-01,수입,랜드로버,Discovery 4,201
2016-01,수입,혼다,CR-V,198
2016-01,수입,폭스바겐,CC,195
2016-01,국산,기아,카렌스,191
2016-01,수입,BMW,Gran Turismo,186
2016-01,수입,벤츠,CLS-Class,177
2016-01,수입,BMW,7 Series,176
2016-01,국산,현대,더 뉴 i30,174
2016-01,수입,아우디,A3,166
2016-01,수입,혼다,Accord,166
2016-01,수입,재규어,XE,155
2016-01,수입,포드,Mustang,153
2016-01,수입,폭스바겐,Jetta,148
2016-01,수입,미니,Countryman,138
2016-01,수입,폭스바겐,Polo,138
2016-01,수입,BMW,1 Series,137
2016-01,수입,BMW,X5,133
2016-01,수입,벤츠,CLA-Class,131
2016-01,국산,현대,i40,122
2016-01,수입,BMW,X6,122
2016-01,수입,볼보,S60,119
2016-01,수입,볼보,XC60,110
2016-01,수입,BMW,4 Series,108
2016-01,수입,포르쉐,Cayenne,106
2016-01,국산,기아,쏘울,103
2016-01,수입,푸조,2008,103
2016-01,수입,닛산,Altima,100
2016-01,수입,토요타,Camry,100
2016-01,수입,링컨,MKZ,97
2016-01,수입,렉서스,NX,96
2016-01,수입,지프,Renegade,94
2016-01,수입,포드,Mondeo,94
